City,Country,Max Temp,Humidity,Current Description,Lat,Lng,Hotel Name
Huangnihe,CN,37.67,73,overcast clouds,43.5583,128.0239,Jinxin Bathing Fashion Hotel
Uddevalla,SE,35.96,86,overcast clouds,58.3478,11.9424,Best Western Hotel Carlia
Brewster,US,33.75,77,clear sky,41.3973,-73.6171,Heidi's Inn
Fukue,JP,68.36,68,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
Churu,IN,78.26,15,clear sky,28.3,74.95,Malji Ka Kamra
Esperance,AU,61.21,63,broken clouds,-33.8667,121.9,Hospitality Esperance
Namibe,AO,72.9,75,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
Half Moon Bay,US,58.32,56,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
Touros,BR,76.14,81,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
Pokhara,NP,74.34,43,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
Bridlington,GB,49.01,89,moderate rain,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
Portland,US,40.08,49,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
Camabatela,AO,72.01,70,scattered clouds,-8.1881,15.375,Comércio e Prestação de Serviços
Richards Bay,ZA,77.59,71,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
Flinders,AU,73.18,73,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
Mittagong,AU,66.0,58,overcast clouds,-34.45,150.45,Mittagong Motel
Kislovodsk,RU,45.25,43,overcast clouds,43.9133,42.7208,Sanatoriy Plaza Kislovodsk
Oriximina,BR,76.01,65,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
Dhamrai,BD,82.38,41,few clouds,23.9202,90.2109,Dhamrai to Kalampur Auto Station
Arauca,CO,73.4,100,broken clouds,7.0847,-70.7591,Hotel Verano Plaza
Carnarvon,AU,72.45,43,clear sky,-24.8667,113.6333,Hospitality Carnarvon
Bengkulu,ID,80.89,81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Sisophon,KH,89.04,60,overcast clouds,13.5859,102.9737,Pyramid Hotel
Quang Ngai,VN,75.27,92,light rain,15.1167,108.8,Central Hotel
Rorvik,NO,35.71,48,clear sky,64.8621,11.2373,Kysthotellet Rørvik AS
Bijela,BA,47.1,93,overcast clouds,43.6086,17.9519,Garden City Konjic
Shubarkuduk,KZ,36.66,74,overcast clouds,49.1447,56.4872,Sirius
Montepuez,MZ,85.86,38,clear sky,-13.1256,38.9997,PembaAparthotel
Joinville,BR,66.11,88,broken clouds,-26.3044,-48.8456,Mercure Joinville Prinz
Helong,CN,41.32,76,overcast clouds,42.5397,128.9972,Helong Hotel
Boueni,YT,84.18,75,clear sky,-12.9025,45.0761,The feet in water
Kahului,US,78.84,73,clear sky,20.8947,-156.47,Maui Seaside Hotel
Quimper,FR,43.36,100,few clouds,48.0,-4.1,Hôtel Oceania Quimper
Tuensang,IN,76.73,24,overcast clouds,26.2833,94.8333,B.W.D Resthouse.
Cockburn Town,TC,81.34,67,few clouds,21.4612,-71.1419,Osprey Beach Hotel
Jalu,LY,68.59,25,clear sky,29.0331,21.5482,صاحبة الفخامة
Kundiawa,PG,70.66,91,light rain,-6.0167,144.9667,Pari
Pacific Grove,US,58.42,66,clear sky,36.6177,-121.9166,Lovers Point Inn
North Charleston,US,42.91,89,clear sky,32.8886,-80.0075,"Crowne Plaza Charleston Airport - Conv Ctr, an IHG Hotel"
Cervo,ES,51.76,72,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
Faanui,PF,77.56,81,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
