City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Cairns,AU,2022-08-03 05:32:09,-16.9167,145.7667,84.07,67,100,12.66
141,La Cruz,MX,2022-08-03 05:35:34,23.9167,-106.9,79.05,80,1,4.56
142,Norman Wells,CA,2022-08-03 05:35:35,65.282,-126.8329,60.84,94,75,5.75
143,Avarua,CK,2022-08-03 05:35:35,-21.2078,-159.775,73.45,53,75,5.75
144,Watertown,US,2022-08-03 05:34:03,42.3709,-71.1828,77.04,65,0,6.91
145,Rio Gallegos,AR,2022-08-03 05:31:41,-51.6226,-69.2181,32.05,86,0,4.61
146,Clyde River,CA,2022-08-03 05:35:36,70.4692,-68.5914,37.63,100,100,2.3
147,Bridlington,GB,2022-08-03 05:30:55,54.0831,-0.1919,67.93,81,89,15.7
148,Wajir,KE,2022-08-03 05:30:54,1.7471,40.0573,77.43,54,21,18.5
149,Pevek,RU,2022-08-03 05:35:37,69.7008,170.3133,36.93,99,100,5.12
150,Gimli,CA,2022-08-03 05:35:37,50.6336,-96.9907,64.36,82,7,15.73
151,Chumikan,RU,2022-08-03 05:35:38,54.7183,135.315,53.65,99,100,7.14
152,Luderitz,NA,2022-08-03 05:35:38,-26.6481,15.1594,53.13,83,1,6.44
153,Brae,GB,2022-08-03 05:35:39,60.3964,-1.353,55.44,93,100,18.81
154,Chhapar,IN,2022-08-03 05:35:39,27.8167,74.4,93.2,49,75,4.97
155,Carquefou,FR,2022-08-03 05:35:40,47.2982,-1.4902,66.27,84,0,3.44
156,Cap Malheureux,MU,2022-08-03 05:35:40,-19.9842,57.6142,73.47,68,11,8.01
157,Taoudenni,ML,2022-08-03 05:35:41,22.6783,-3.9836,94.82,10,90,3.0
158,Manyana,BW,2022-08-03 05:35:41,-23.4,21.7167,49.08,30,0,3.06
159,Bengkulu,ID,2022-08-03 05:31:16,-3.8004,102.2655,81.72,73,96,3.42
160,Bubaque,GW,2022-08-03 05:35:42,11.2833,-15.8333,78.69,81,100,8.77
161,Torbay,CA,2022-08-03 05:33:33,47.6666,-52.7314,62.58,87,20,6.91
162,Pemangkat,ID,2022-08-03 05:35:42,1.1667,108.9667,82.9,76,40,7.18
